book_author,book_name,book_price,book_type
Arun Shourie,"The Only Fatherland: Communists, 'Quit India' and the Soviet Union","299,161,180","Paperback,Kindle Edition,Hardcover"
Sukhendu Ray,Chokher Bali,"253,0","Paperback,Kindle Edition"
Aesop,Aesop's Fables (Puffin Classics),209,"Paperback,Kindle Edition,Library Binding"
Jaswant Singh,Jinnah India-Partition Independence,"600,0","Paperback,Kindle Edition,Hardcover"
F. Scott Fitzgerald,The Great Gatsby (Collins Classics),"183,83,284","Mass Market Paperback,Kindle Edition,Paperback"
Gao Xingjian,Soul Mountain,"281,266","Paperback,Kindle Edition,Hardcover"
Anita Desai,Baumgartner’s Bombay,323,Paperback
Irawati Karwe,Yuganta: The End of an Epoch,415,Paperback
Jagmohan S. Bhanver,Nadella: The Changing Face of Microsoft,"201,190,0","Paperback,Kindle Edition,Audible Audiobook"
Sunil Khilnani,Non Alignment 2.0: A Foreign and Strategic Policy for India in the 21st Century,"297,282","Paperback,Kindle Edition,Hardcover"
Elena Ferrante,The Story of a New Name: My Brilliant Friend Book 2: Youth: 02 (Neapolitan Quartet),"880,331,0","Paperback,Kindle Edition,Audible Audiobook"
A.L. Basham,The Wonder That Was India: Volume 1,,Paperback
Kingshuk Nag,Atal Bihari Vajpayee: A Man for All Seasons,"382,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Kaushik Basu,An Economist in the Real World: The Art of Policymaking in India,"554,525","Hardcover,Kindle Edition,Paperback"
"Yuvraj Singh,Sharda Ugra",Yuvraj singh The Test Of My Life,"193,317","Hardcover,Kindle Edition,Paperback"
Vinod Rai,Not Just an Accountant: The Diary of the Nations Conscience Keeper,"437,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Sujata Dev,Mohammed Rafi:Golden Voice of the Silver Screen,"412,175","Hardcover,Kindle Edition"
Nilanjana Roy,"Patriots, Poets and Prisoners: Selections from Ramananda Chatterjee's The Modern Review, 1907-1947","320,304","Paperback,Kindle Edition"
Philip Roth,The Human Stain,"449,426,0","Paperback,Kindle Edition,Audible Audiobook"
Tahmima Anam,The Good Muslim,"211,177,0","Paperback,Kindle Edition,Audible Audiobook"
Ram Gopal Varma,Guns and Thighs : The Story of My Life,"408,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Sanjaya Baru,The Accidental Prime Minister: The Making and Unmaking of Manmohan Singh,"193,0","Hardcover,Kindle Edition,Audible Audiobook"
Saeed Naqvi,Being the Other: The Muslim in India,"541,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Prof. R. Vaidyanathan,India Uninc.,"319,0,0","Paperback,Kindle Edition,Audible Audiobook"
Nandita Haksar,The Many Faces of Kashmiri Nationalism: From the Cold War to the Present Day,"350,332","Paperback,Kindle Edition"
Bill Bryson,In a Sunburned Country,"699,189,0","Paperback,Kindle Edition,Audible Audiobook"
Rabisankar Bal,Dozakhnama: Conversation in Hell,"399,280,0","Paperback,Kindle Edition,Audible Audiobook"
Marjane Satrapi,The Complete Persepolis: Now a Major Motion Picture (Pantheon Graphic Library),994,"Paperback,Library Binding"
Michael Ondaatje,Anil's Ghost,"330,168,1,767","Paperback,Kindle Edition,Hardcover"
Diptakirti Chaudhuri,Written by Salim-Javed: The Story of Hindi Cinema’s Greatest Screenwriters,"327,251","Paperback,Kindle Edition"
Rabindranath Tagore,Gora (Modern Classics),"498,314,0","Paperback,Kindle Edition,Audible Audiobook"
Barkha Dutt,This Unquiet Land: Stories from India's Fault Lines,"370,351,0","Hardcover,Kindle Edition,Audible Audiobook"
Bhavdeep Kang,Gurus: Stories of India's Leading Babas,"250,0","Paperback,Kindle Edition"
Kalita Arupa Patangia,Written in Tears,"299,167","Paperback,Kindle Edition"
Amit Chaudhuri,A Strange and Sublime Address,"270,222,0","Paperback,Kindle Edition,Audible Audiobook"
Rajmohan Gandhi,Rajaji: A Life,"409,314","Paperback,Kindle Edition"
Kate Atkinson,Life After Life: Winner of the Costa Novel Award,"396,250,0","Paperback,Kindle Edition,Audible Audiobook"
Sharanya Manivannan,The High Priestess Never Marries: Stories of Love and Consequence,"375,356","Hardcover,Kindle Edition"
Graham Greene,Brighton Rock,"449,161,0","Paperback,Kindle Edition,Audible Audiobook"
Jane Austen,Persuasion,"128,42,0","Paperback,Kindle Edition,Audible Audiobook"
Zadie Smith,NW,"294,279,0","Paperback,Kindle Edition,Audible Audiobook"
Dilip Kumar,"The Tamil Story: Through the Times, Through the Tides: 1","400,0","Paperback,Kindle Edition"
Junot Diaz,This Is How You Lose Her,"408,279,1,661","Paperback,Kindle Edition,Hardcover"
Manil Suri,The Death of Vishnu: A Novel (P.S.),"289,255,2,359","Paperback,Kindle Edition,Hardcover"
Elena Ferrante,"Those Who Leave and Those Who Stay: Neapolitan Novels, Book Three: 03 (Neapolitan Quartet)","990,362,0","Paperback,Kindle Edition,Audible Audiobook"
Victor Hugo,The Hunchback of Notre - Dame (Collins Classics),"127,49,0","Paperback,Kindle Edition,Audible Audiobook"
Karan Mahajan,The Association of Small Bombs,"315,206,222","Hardcover,Kindle Edition,Paperback"
Mirza Sania,Ace against Odds,"324,129,0","Hardcover,Kindle Edition,Audible Audiobook"
Aatish Taseer,The Way Things Were,"559,294,339","Hardcover,Kindle Edition,Paperback"
Emily Bronte,Wuthering Heights (Collins Classics),"161,49,0","Paperback,Kindle Edition,Audible Audiobook"
Virginia Woolf,To the Lighthouse (Collins Classics),"183,51","Paperback,Kindle Edition"
Christophe Jaffrelot,The Pakistan Paradox: Instability and Resilience,400,"Paperback,Kindle Edition,Hardcover"
Vivek Shanbhag,Ghachar Ghochar,"399,211,224","Hardcover,Kindle Edition,Paperback"
Mihir Sharma,Restart: The Last Chance for the Indian Economy,"333,251,499","Paperback,Kindle Edition,Hardcover"
Anchee Min,Empress Orchid,"223,211,3,157","Paperback,Kindle Edition,Hardcover"
Sanjeev Sanyal,The Ocean of Churn: How the Indian Ocean Shaped Human History,"202,0","Hardcover,Kindle Edition,Audible Audiobook"
,I Want to Destroy Myself: A Memoir,"267,253","Hardcover,Kindle Edition,Paperback"
Kanishk Tharoor,Swimmer Among the Stars Stories,"431,262","Hardcover,Kindle Edition,Paperback"
Jerry Pinto,Helen: Jerry Pinto,"317,227","Paperback,Kindle Edition"
Ismat Chugtai,A Life in Words: Memoirs,"336,251","Paperback,Kindle Edition,Hardcover"
Jane Austen,Emma (Collins Classics),"194,42,0","Paperback,Kindle Edition,Audible Audiobook"
Chandra Subhash,The Z Factor: My Journey as the Wrong Man at the Right Time,"510,251,0","Hardcover,Kindle Edition,Audible Audiobook"
Thomas Mann,Death in Venice and Other Stories (First Book),"250,175","Paperback,Kindle Edition,Hardcover"
Aseem Chhabra,"Shashi Kapoor: The Householder, The Star","335,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Joseph Conrad,Heart of Darkness (Master's Collections),"92,42,0","Paperback,Kindle Edition,Audible Audiobook"
Siddhartha Gigoo,A Fistful of Earth and Other Stories,"180,0","Paperback,Kindle Edition"
Mohammad Amin-ul Islam,Beyond the Goal: The Biography of Baichung Bhutia,"275,261","Paperback,Kindle Edition"
Carso Mccullers,Modern Classics Heart Is A Lonely Hunter (Penguin Modern Classics),221,"Paperback,Kindle Edition,Hardcover"
Upamanyu Chatterjee,English August,,"Paperback,Hardcover"
Kamel Daoud,The Meursault Investigation: A Novel,"872,769,0","Paperback,Kindle Edition,Audible Audiobook"
Anandan Sujata,Samrat: How the Shiv Sena Changed Mumbai Forever,"525,308","Hardcover,Kindle Edition"
Robert Byron,The Road to Oxiana (Penguin Classics),"354,53,0","Paperback,Kindle Edition,Audible Audiobook"
Anita Nair,Chain of Custody,"271,196","Paperback,Kindle Edition"
Adiga Aravind,Selection Day,"320,190,0","Hardcover,Kindle Edition,Audible Audiobook"
Rajmohan Gandhi,Rajmohan Gandhi Revenge Reconciliation: Understanding South Asian History,"387,367","Paperback,Kindle Edition"
Amit Chaudhuri,A New World,"299,199","Paperback,Kindle Edition,Hardcover"
Mekhala Sengupta,Kanan Devi: The First Superstar of Indian Cinema,"349,214","Paperback,Kindle Edition"
Bram Stoker,Dracula (Collins Classics),"144,0,0","Paperback,Kindle Edition,Audible Audiobook"
Mahesh Dattani,Brief Candle,"199,164","Paperback,Kindle Edition"
Ryszard Kapuscinski,Shah of Shahs (Penguin Modern Classics),"312,40,690","Paperback,Kindle Edition,Hardcover"
Mahesh Rao,One Point Two Billion,419,Hardcover
Ilina Sen,Inside Chhattisgarh: A Political Memoir,"257,244","Paperback,Kindle Edition"
Alexandre Dumas,The Count of Monte Cristo (Bantam Classics): Abridged,"220,36","Paperback,Kindle Edition,Audible Audiobook"
Margaret Alva,Courage & Commitment: An Autobiography,"399,379","Hardcover,Kindle Edition,Paperback"
Shashi Tharoor,India Shastra: Reflections on the Nation in our Time,"586,0,0","Hardcover,Kindle Edition,Audible Audiobook"
Hilary Mantel,Wolf Hall: Booker Prize Winner 2009 (The Wolf Hall Trilogy),"499,228,0","Paperback,Kindle Edition,Audible Audiobook"
Shiv Visvanathan,Theatres of Democracy: Between the Epic and the Everyday - Selected Essays,494,Paperback
Romila Thapar,The Past Before Us,"905,2,927,1,268","Paperback,Kindle Edition,Hardcover"
Christina Baker Kline,Orphan Train: A Novel,"268,251,0","Paperback,Kindle Edition,Audible Audiobook"
"Yasunari Kawabata,Edward G. Seidensticker",Thousand Cranes (Penguin Modern Classics),"499,401,0","Paperback,Kindle Edition,Audible Audiobook"
Tavleen Singh,India's Broken Tryst,"426,279,388","Hardcover,Kindle Edition,Paperback"
Vikas Swarup,Q & A: Slumdog Millionaire,"268,171,0","Paperback,Kindle Edition,Audible Audiobook"
K. Satchidanandan,Words Matter: Writings Against Silence,"350,332,492","Hardcover,Kindle Edition,Paperback"
,Shala,"399,223","Paperback,Kindle Edition"
Nandan Nilekani,Rebooting India: Realizing a Billion Aspirations,"570,235,248","Hardcover,Kindle Edition,Paperback"
Tabish Khair,Jihadi Jane,"253,240","Paperback,Kindle Edition"
V. Krishnamurthy,At the Helm: A Memoir,"367,335","Paperback,Kindle Edition,Hardcover"
Orhan Pamuk,Istanbul: Memories and the City (Vintage International),"549,349,0","Paperback,Kindle Edition,Audible Audiobook"
Dharamvir Bharati,Chander and Sudha,"249,237,330","Hardcover,Kindle Edition,Paperback"
Bhisham Sahni,Tamas,"129,0","Paperback,Kindle Edition,Audible Audiobook"
M J Akbar,A Mirror to Power: Notes on a Fractured Decade,"364,261","Hardcover,Kindle Edition"
Krishna Sobti,Zindaginama,"389,369","Paperback,Kindle Edition"
Knut Hamsun,Hunger (Canons),329,"Paperback,Kindle Edition"
Nagarkar Kiran,Ravan and Eddie,"299,196","Paperback,Kindle Edition,Hardcover"
Johanna Spyri,Heidi (Puffin Classics),270,Paperback
Jhumpa Lahiri,The Lowland,"279,0","Hardcover,Kindle Edition,Audible Audiobook"
Rajdeep Sardesai,The Election That Changed India 2014,"360,251,280","Hardcover,Kindle Edition,Paperback"
Vandana Mishra,"I, the Salt Doll: A Memoir","262,198","Paperback,Kindle Edition"
Nisid Hajari,Midnight’s Furies: The Deadly Legacy of India’s Partition,"237,0","Hardcover,Kindle Edition,Audible Audiobook"
Gustave Flaubert,Madame Bovary: Provincial Lives (Penguin Classics),"183,0,0","Paperback,Kindle Edition,Audible Audiobook"
Subhash Chandran,A Preface to Man,"345,279","Paperback,Kindle Edition"
Muhammad Yunus,Banker to the Poor,"165,3,554","Paperback,Kindle Edition,Hardcover"
Lisa See,Peony in Love,"710,1,650","Paperback,Kindle Edition,Hardcover"
"Andrey Platonov,Robert Chandler",The Foundation Pit (Vintage Classics),355,"Paperback,Kindle Edition"
Paullina Simons,The Bronze Horseman: 1,"999,332,5,651","Paperback,Kindle Edition,Hardcover"
Namita Gokhale,Things to Leave Behind,"207,218","Hardcover,Kindle Edition,Paperback"
Colm Tóibín,The Testament of Mary,"279,265,0","Paperback,Kindle Edition,Audible Audiobook"
"Hans Andersen,Naomi Lewis",Hans Christian Andersen's Fairy Tales: Retold by Naomi Lewis (Puffin Classics),"286,57,0","Paperback,Kindle Edition,Audible Audiobook"
Nirala Suryakant Tripathi,A Life Misspent,"199,111","Paperback,Kindle Edition"
Sir V. S. Naipaul,In a Free State: Shortlisted for The Golden Man Booker Prize 2018 (The Novel),"415,193,0","Paperback,Kindle Edition,Audible Audiobook"
Madhav Godbole,Secularism,"804,762","Hardcover,Kindle Edition,Paperback"
Amit Chaudhuri,The Immortals,"308,237,0","Paperback,Kindle Edition,Audible Audiobook"
Bimal Jalan,"The Future of India: Politics, Economics and Governance","272,258","Paperback,Kindle Edition,Hardcover"
Anthony Doerr,All the Light We Cannot See: The Breathtaking World Wide Bestseller,"799,320,1,737","Paperback,Kindle Edition,Hardcover"
Ambai,A Meeting on the Andheri Overbridge: Sudha Gupta Investigates,"214,103","Paperback,Kindle Edition"
Ryan Lobo,Mr Iyer Goes To War,"292,277","Paperback,Kindle Edition,Hardcover"
Natsuo Kirino,Out: A Thriller (Vintage International),"1,073,327,1,900","Paperback,Kindle Edition,Hardcover"
Intizar Hussain,The Death of Sheherzad,"275,261","Paperback,Kindle Edition,Hardcover"
,Parineeta,"125,71,0","Paperback,Kindle Edition,Audible Audiobook"
Bakhtiar K. Dadabhoy,Barons of Banking: Glimpses of Indian Banking History,"599,324,399","Hardcover,Kindle Edition,Paperback"
Rohinton Mistry,Such a Long Journey,279,"Paperback,Kindle Edition,Hardcover"
N.N. Vohra,Safeguarding India: Essays on Security and Governance,"348,330","Hardcover,Kindle Edition"
Atiq Rahimi,The Patience Stone,"312,4,942","Paperback,Kindle Edition,Hardcover"
Rana Dasgupta,Tokyo Cancelled,"481,139","Paperback,Kindle Edition,Hardcover"
Khatija Akbar,I Want To Live: The Story Of Madhubala,"257,0","Paperback,Kindle Edition,Audible Audiobook"
Jalal,The Struggle for Pakistan a Muslim Homeland and  Global Politics,"650,794,427","Hardcover,Kindle Edition,Paperback"
Amy Tan,The Kitchen God's Wife: A Novel,"189,0","Paperback,Kindle Edition,Audible Audiobook"
N Kalyan Raman,"Farewell, Mahatma: Stories","250,167","Paperback,Kindle Edition"
Tea Obreht,The Tiger's Wife,"418,313","Paperback,Kindle Edition,Hardcover"
K.R. Meera,The Gospel of Yudas,"325,171,180","Hardcover,Kindle Edition,Paperback"
K K Puri,"My Father, the Villain: Madan Puri - a biography",486,Hardcover
Marjane Satrapi,Chicken With Plums,"773,857","Hardcover,Paperback"
Elif Shafak,The Bastard of Istanbul,"250,0","Paperback,Kindle Edition,Audible Audiobook"
Paul Murray,Skippy Dies,"325,308,0","Paperback,Kindle Edition,Audible Audiobook"
Joseph O'Neill,Netherland,"495,163,0","Paperback,Kindle Edition,Audible Audiobook"
Suprita Das,Shadow Fighter: Sarita Devi and Her Extraordinary Journey,"205,190","Paperback,Kindle Edition"
Yevgeny Zamyatin,We,"59,0","Mass Market Paperback,Kindle Edition,Audible Audiobook"
Shahriar Mandanipour,Censoring An Iranian Love Story: A novel,"545,3,233,1,775","Paperback,Hardcover,Audio CD"
William Makepeace Thackeray,Vanity Fair (Collins Classics),"223,51,0","Paperback,Kindle Edition,Audible Audiobook"
Keki N. Daruwalla,Ancestral Affairs,"264,225","Hardcover,Kindle Edition"
Husain Intizar,The Sea Lies Ahead,"470,381","Hardcover,Kindle Edition"
Akhil Sharma,Family Life,"250,128,320","Paperback,Kindle Edition,Hardcover"
Brothers Grimm,Grimms' Fairy Tales (Collins Classics),"153,51,892","Paperback,Kindle Edition,Hardcover"
Bhisham Sahni,Boyhood,"220,171","Paperback,Kindle Edition"
Jack London,The Call of the Wild (Collins Classics),"144,0,0","Mass Market Paperback,Kindle Edition,Audible Audiobook"
Aditya Sinha,The CEO Who Lost His Head,"192,182","Paperback,Kindle Edition"
Raj Kamal Jha,She Will Build Him a City,"420,334,0","Hardcover,Kindle Edition,Audible Audiobook"
Elif Shafak,Honour,"288,0","Paperback,Kindle Edition,Audible Audiobook"
Jonathan Franzen,Purity,"679,301,412","Hardcover,Kindle Edition,Paperback"
Avinuo Kire,The Power to Forgive and Other Stories,315,"Paperback,Kindle Edition"
Tahmima Anam,The Bones of Grace,"170,197","Hardcover,Kindle Edition,Paperback"
Thomas Hardy,Jude the Obscure (UBSPD's World Classics S.),"220,49,0","Paperback,Kindle Edition,Audible Audiobook"
Kenneth Grahame,The Wind in the Willows (Bantam Classics),"250,49,0","Paperback,Kindle Edition,Audible Audiobook"
Krishna Sobti,The Music of SOLITUDE,"250,167","Paperback,Kindle Edition"
Åsne Seierstad,The Bookseller of Kabul,"276,1,669","Paperback,Kindle Edition,Hardcover"
Anuradha Roy,The Folded Earth,"495,239,252","Hardcover,Kindle Edition,Paperback"
Patrick White,Voss (Penguin Classics),"300,0","Paperback,Kindle Edition,Audible Audiobook"
"Yuri Olesha,Ken Kalfus",Envy (New York Review Books Classics),"626,532","Paperback,Kindle Edition"
Qian Zhongshu,Fortress Besieged (Penguin Modern Classics),599,Paperback
Anuradha Vaidya,A Rag Doll for My Heart: A Poetic Novel,"277,235","Paperback,Kindle Edition"
Nevil Shute Norway,A Town Like Alice: (Vintage Summer),"199,0","Mass Market Paperback,Kindle Edition,Audible Audiobook"
Amy Tan,The Hundred Secret Senses: A Novel,"136,0","Paperback,Kindle Edition,Audible Audiobook"
book_author,book_name,book_type
J.K. Rowling,Harry Potter and the Philosopher's Stone,"280,0,0"
Harper Lee,To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,"325,99,0"
